TIMESTAMP,Calendrier,HTA,sup36,inf36
527,HCH,22.6,36.4,39.4
528,HCH,22.6,36.4,39.4
529,HCH,22.6,36.4,39.4
530,HCH,22.6,36.4,39.4
531,HCH,22.6,36.4,39.4
532,HCH,22.6,36.4,39.4
533,HCH,22.6,36.4,39.4
534,HCH,22.6,36.4,39.4
535,P,44.2,52.8,39.4
536,P,44.2,52.8,39.4
537,HPH,35.2,52.8,39.4
538,HPH,35.2,52.8,39.4
539,HPH,35.2,52.8,39.4
540,HPH,35.2,52.8,39.4
541,HPH,35.2,52.8,39.4
542,HPH,35.2,52.8,39.4
543,HPH,35.2,52.8,39.4
544,HPH,35.2,52.8,39.4
545,HPH,35.2,52.8,39.4
546,HPH,35.2,52.8,39.4
547,P,44.2,52.8,39.4
548,P,44.2,52.8,39.4
549,HPH,35.2,52.8,39.4
550,HPH,35.2,52.8,39.4
551,HCH,22.6,36.4,39.4
552,HCH,22.6,36.4,39.4
553,HCH,22.6,36.4,39.4
554,HCH,22.6,36.4,39.4
555,HCH,22.6,36.4,39.4
556,HCH,22.6,36.4,39.4
557,HCH,22.6,36.4,39.4
558,HCH,22.6,36.4,39.4
559,P,44.2,52.8,39.4
560,P,44.2,52.8,39.4
561,HPH,35.2,52.8,39.4
562,HPH,35.2,52.8,39.4
563,HPH,35.2,52.8,39.4
564,HPH,35.2,52.8,39.4
565,HPH,35.2,52.8,39.4
566,HPH,35.2,52.8,39.4
567,HPH,35.2,52.8,39.4
568,HPH,35.2,52.8,39.4
569,HPH,35.2,52.8,39.4
570,HPH,35.2,52.8,39.4
571,P,44.2,52.8,39.4
572,P,44.2,52.8,39.4
573,HPH,35.2,52.8,39.4
574,HPH,35.2,52.8,39.4
575,HCH,22.6,36.4,39.4
576,HCH,22.6,36.4,39.4
577,HCH,22.6,36.4,39.4
578,HCH,22.6,36.4,39.4
579,HCH,22.6,36.4,39.4
580,HCH,22.6,36.4,39.4
581,HCH,22.6,36.4,39.4
582,HCH,22.6,36.4,39.4
583,P,44.2,52.8,39.4
584,P,44.2,52.8,39.4
585,HPH,35.2,52.8,39.4
586,HPH,35.2,52.8,39.4
587,HPH,35.2,52.8,39.4
588,HPH,35.2,52.8,39.4
589,HPH,35.2,52.8,39.4
590,HPH,35.2,52.8,39.4
591,HPH,35.2,52.8,39.4
592,HPH,35.2,52.8,39.4
593,HPH,35.2,52.8,39.4
594,HPH,35.2,52.8,39.4
595,P,44.2,52.8,39.4
596,P,44.2,52.8,39.4
597,HPH,35.2,52.8,39.4
598,HPH,35.2,52.8,39.4
599,HCH,22.6,36.4,39.4
600,HCH,22.6,36.4,39.4
601,HCH,22.6,36.4,39.4
602,HCH,22.6,36.4,39.4
603,HCH,22.6,36.4,39.4
604,HCH,22.6,36.4,39.4
605,HCH,22.6,36.4,39.4
606,HCH,22.6,36.4,39.4
607,P,44.2,52.8,39.4
608,P,44.2,52.8,39.4
609,HPH,35.2,52.8,39.4
610,HPH,35.2,52.8,39.4
611,HPH,35.2,52.8,39.4
612,HPH,35.2,52.8,39.4
613,HPH,35.2,52.8,39.4
614,HPH,35.2,52.8,39.4
615,HPH,35.2,52.8,39.4
616,HPH,35.2,52.8,39.4
617,HPH,35.2,52.8,39.4
618,HPH,35.2,52.8,39.4
619,P,44.2,52.8,39.4
620,P,44.2,52.8,39.4
621,HPH,35.2,52.8,39.4
622,HPH,35.2,52.8,39.4
623,HCH,22.6,36.4,39.4
624,HCH,22.6,36.4,39.4
625,HCH,22.6,36.4,39.4
626,HCH,22.6,36.4,39.4
627,HCH,22.6,36.4,39.4
628,HCH,22.6,36.4,39.4
629,HCH,22.6,36.4,39.4
630,HCH,22.6,36.4,39.4
631,P,44.2,52.8,39.4
632,P,44.2,52.8,39.4
633,HPH,35.2,52.8,39.4
634,HPH,35.2,52.8,39.4
635,HPH,35.2,52.8,39.4
636,HPH,35.2,52.8,39.4
637,HPH,35.2,52.8,39.4
638,HPH,35.2,52.8,39.4
639,HPH,35.2,52.8,39.4
640,HPH,35.2,52.8,39.4
641,HPH,35.2,52.8,39.4
642,HPH,35.2,52.8,39.4
643,P,44.2,52.8,39.4
644,P,44.2,52.8,39.4
645,HPH,35.2,52.8,39.4
646,HPH,35.2,52.8,39.4
647,HCH,22.6,36.4,39.4
648,HCH,22.6,36.4,39.4
649,HCH,22.6,36.4,39.4
650,HCH,22.6,36.4,39.4
651,HCH,22.6,36.4,39.4
652,HCH,22.6,36.4,39.4
653,HCH,22.6,36.4,39.4
654,HCH,22.6,36.4,39.4
655,P,44.2,52.8,39.4
656,P,44.2,52.8,39.4
657,HPH,35.2,52.8,39.4
658,HPH,35.2,52.8,39.4
659,HPH,35.2,52.8,39.4
660,HPH,35.2,52.8,39.4
661,HPH,35.2,52.8,39.4
662,HPH,35.2,52.8,39.4
663,HPH,35.2,52.8,39.4
664,HPH,35.2,52.8,39.4
665,HPH,35.2,52.8,39.4
666,HPH,35.2,52.8,39.4
667,P,44.2,52.8,39.4
668,P,44.2,52.8,39.4
669,HPH,35.2,52.8,39.4
670,HPH,35.2,52.8,39.4
671,HCH,22.6,36.4,39.4
672,HCH,22.6,36.4,39.4
673,HCH,22.6,36.4,39.4
674,HCH,22.6,36.4,39.4
675,HCH,22.6,36.4,39.4
676,HCH,22.6,36.4,39.4
677,HCH,22.6,36.4,39.4
678,HCH,22.6,36.4,39.4
679,P,44.2,52.8,39.4
680,P,44.2,52.8,39.4
681,HPH,35.2,52.8,39.4
682,HPH,35.2,52.8,39.4
683,HPH,35.2,52.8,39.4
684,HPH,35.2,52.8,39.4
685,HPH,35.2,52.8,39.4
686,HPH,35.2,52.8,39.4
687,HPH,35.2,52.8,39.4
688,HPH,35.2,52.8,39.4
689,HPH,35.2,52.8,39.4
690,HPH,35.2,52.8,39.4
691,P,44.2,52.8,39.4
692,P,44.2,52.8,39.4
693,HPH,35.2,52.8,39.4
694,HPH,35.2,52.8,39.4
695,HCH,22.6,36.4,39.4
696,HCH,22.6,36.4,39.4
697,HCH,22.6,36.4,39.4
698,HCH,22.6,36.4,39.4
699,HCH,22.6,36.4,39.4
700,HCH,22.6,36.4,39.4
701,HCH,22.6,36.4,39.4
702,HCH,22.6,36.4,39.4
703,P,44.2,52.8,39.4
704,P,44.2,52.8,39.4
705,HPH,35.2,52.8,39.4
706,HPH,35.2,52.8,39.4
707,HPH,35.2,52.8,39.4
708,HPH,35.2,52.8,39.4
709,HPH,35.2,52.8,39.4
710,HPH,35.2,52.8,39.4
711,HPH,35.2,52.8,39.4
712,HPH,35.2,52.8,39.4
713,HPH,35.2,52.8,39.4
714,HPH,35.2,52.8,39.4
715,P,44.2,52.8,39.4
716,P,44.2,52.8,39.4
717,HPH,35.2,52.8,39.4
718,HPH,35.2,52.8,39.4
719,HCH,22.6,36.4,39.4
720,HCH,22.6,36.4,39.4
721,HCH,22.6,36.4,39.4
722,HCH,22.6,36.4,39.4
723,HCH,22.6,36.4,39.4
724,HCH,22.6,36.4,39.4
725,HCH,22.6,36.4,39.4
726,HCH,22.6,36.4,39.4
727,P,44.2,52.8,39.4
728,P,44.2,52.8,39.4
729,HPH,35.2,52.8,39.4
730,HPH,35.2,52.8,39.4
731,HPH,35.2,52.8,39.4
732,HPH,35.2,52.8,39.4
733,HPH,35.2,52.8,39.4
734,HPH,35.2,52.8,39.4
735,HPH,35.2,52.8,39.4
736,HPH,35.2,52.8,39.4
737,HPH,35.2,52.8,39.4
738,HPH,35.2,52.8,39.4
739,P,44.2,52.8,39.4
740,P,44.2,52.8,39.4
741,HPH,35.2,52.8,39.4
742,HPH,35.2,52.8,39.4
743,HCH,22.6,36.4,39.4
744,HCH,22.6,36.4,39.4
745,HCH,22.6,36.4,39.4
746,HCH,22.6,36.4,39.4
747,HCH,22.6,36.4,39.4
