YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,594,electricity,0
2030,595,electricity,0
2030,596,electricity,0
2030,597,electricity,0
2030,598,electricity,0
2030,599,electricity,0
2030,600,electricity,0
2030,601,electricity,0
2030,602,electricity,0
2030,603,electricity,0
2030,604,electricity,0
2030,605,electricity,0
2030,606,electricity,0
2030,607,electricity,0
2030,608,electricity,0
2030,609,electricity,0
2030,610,electricity,0
2030,611,electricity,0
2030,612,electricity,0
2030,613,electricity,0
2030,614,electricity,0
2030,615,electricity,0
2030,616,electricity,0
2030,617,electricity,0
2030,618,electricity,0
2030,619,electricity,0
2030,620,electricity,0
2030,621,electricity,0
2030,622,electricity,0
2030,623,electricity,0
2030,624,electricity,0
2030,625,electricity,0
2030,626,electricity,0
2030,627,electricity,0
2030,628,electricity,0
2030,629,electricity,0
2030,630,electricity,0
2030,631,electricity,0
2030,632,electricity,0
2030,633,electricity,0
2030,634,electricity,0
2030,635,electricity,0
2030,636,electricity,0
2030,637,electricity,0
2030,638,electricity,0
2030,639,electricity,0
2030,640,electricity,0
2030,641,electricity,0
2030,642,electricity,0
2030,643,electricity,0
2030,644,electricity,0
2030,645,electricity,0
2030,646,electricity,0
2030,647,electricity,0
2030,648,electricity,0
2030,649,electricity,0
2030,650,electricity,0
2030,651,electricity,0
2030,652,electricity,0
2030,653,electricity,0
2030,654,electricity,0
2030,655,electricity,0
2030,656,electricity,0
2030,657,electricity,0
2030,658,electricity,0
2030,659,electricity,0
2030,660,electricity,0
2030,661,electricity,0
2030,662,electricity,0
2030,663,electricity,0
2030,664,electricity,0
2030,665,electricity,0
2030,666,electricity,0
2030,667,electricity,0
2030,668,electricity,0
2030,669,electricity,0
2030,670,electricity,0
2030,671,electricity,0
2030,672,electricity,0
2030,673,electricity,0
2030,674,electricity,0
2030,675,electricity,0
2030,676,electricity,0
2030,677,electricity,0
2030,678,electricity,0
2030,679,electricity,0
2030,680,electricity,0
2030,681,electricity,0
2030,682,electricity,0
2030,683,electricity,0
2030,684,electricity,0
2030,685,electricity,0
2030,686,electricity,0
2030,687,electricity,0
2030,688,electricity,0
2030,689,electricity,0
2030,690,electricity,0
2030,691,electricity,0
2030,692,electricity,0
2030,693,electricity,0
2030,694,electricity,0
2030,695,electricity,0
2030,696,electricity,0
2030,697,electricity,0
2030,698,electricity,0
2030,699,electricity,0
2030,700,electricity,0
2030,701,electricity,0
2030,702,electricity,0
2030,703,electricity,0
2030,704,electricity,0
2030,705,electricity,0
2030,706,electricity,0
2030,707,electricity,0
2030,708,electricity,0
2030,709,electricity,0
2030,710,electricity,0
2030,711,electricity,0
2030,712,electricity,0
2030,713,electricity,0
2030,714,electricity,0
2030,715,electricity,0
2030,716,electricity,0
2030,717,electricity,0
2030,718,electricity,0
2030,719,electricity,0
2030,720,electricity,0
2030,721,electricity,0
2030,722,electricity,0
2030,723,electricity,0
2030,724,electricity,0
2030,725,electricity,0
2030,726,electricity,0
2030,727,electricity,0
2030,728,electricity,0
2030,729,electricity,0
2030,730,electricity,0
2030,731,electricity,0
2030,732,electricity,0
2030,733,electricity,0
2030,734,electricity,0
2030,735,electricity,0
2030,736,electricity,0
2030,737,electricity,0
2030,738,electricity,0
2030,739,electricity,0
2030,740,electricity,0
2030,741,electricity,0
2030,742,electricity,0
2030,743,electricity,0
2030,744,electricity,0
2030,745,electricity,0
2030,746,electricity,0
2030,747,electricity,0
2030,748,electricity,0
2030,749,electricity,0
2030,750,electricity,0
2030,751,electricity,0
2030,752,electricity,0
2030,753,electricity,0
2030,754,electricity,0
2030,755,electricity,0
2030,756,electricity,0
2030,757,electricity,0
2030,758,electricity,0
2030,759,electricity,0
2030,760,electricity,0
2030,761,electricity,0
2030,762,electricity,0
2030,763,electricity,0
2030,764,electricity,0
2030,765,electricity,0
2030,766,electricity,0
2030,767,electricity,0
2030,768,electricity,0
2030,769,electricity,0
2030,770,electricity,0
2030,771,electricity,0
2030,772,electricity,0
2030,773,electricity,0
2030,774,electricity,0
2030,775,electricity,0
2030,776,electricity,0
2030,777,electricity,0
2030,778,electricity,0
2030,779,electricity,0
2030,780,electricity,0
2030,781,electricity,0
2030,782,electricity,0
2030,783,electricity,0
2030,784,electricity,0
2030,785,electricity,0
2030,786,electricity,0
2030,787,electricity,0
2030,788,electricity,0
2030,789,electricity,0
2030,790,electricity,0
2030,791,electricity,0
2030,792,electricity,0
2030,793,electricity,0
2030,794,electricity,0
2030,795,electricity,0
2030,796,electricity,0
2030,797,electricity,0
2030,798,electricity,0
2030,799,electricity,0
2030,800,electricity,0
2030,801,electricity,0
2030,802,electricity,0
2030,803,electricity,0
2030,804,electricity,0
2030,805,electricity,0
2030,806,electricity,0
2030,807,electricity,0
2030,808,electricity,0
2030,809,electricity,0
2030,810,electricity,0
2030,811,electricity,0
2030,812,electricity,0
2030,813,electricity,0
2030,814,electricity,0
2030,815,electricity,0
2030,816,electricity,0
2030,817,electricity,0
2030,818,electricity,0
2030,819,electricity,0
2030,820,electricity,0
2030,821,electricity,0
