TIMESTAMP,RESSOURCES,importCost
642,electricity,39.7
643,electricity,35.66
644,electricity,39.11
645,electricity,31.47
646,electricity,36.29
647,electricity,37.96
648,electricity,36.6
649,electricity,28.64
650,electricity,26.58
651,electricity,14.61
652,electricity,14.97
653,electricity,13.01
654,electricity,9.25
655,electricity,11.45
656,electricity,17.2
657,electricity,27.12
658,electricity,30.57
659,electricity,27.4
660,electricity,27.19
661,electricity,24.92
662,electricity,20.64
663,electricity,15.43
664,electricity,14.81
665,electricity,23.12
666,electricity,35.87
667,electricity,40.77
668,electricity,35.78
669,electricity,32.4
670,electricity,33.7
671,electricity,35.91
672,electricity,28.59
673,electricity,28.25
674,electricity,23.19
675,electricity,14.39
676,electricity,10.01
677,electricity,19.44
678,electricity,33.46
679,electricity,49.53
680,electricity,49.12
681,electricity,50.18
682,electricity,49.44
683,electricity,47.4
684,electricity,43.22
685,electricity,38.92
686,electricity,38.21
687,electricity,36.23
688,electricity,36.28
689,electricity,38.4
690,electricity,46.63
691,electricity,49.99
692,electricity,41.32
693,electricity,36.69
694,electricity,34
695,electricity,40.95
696,electricity,31.84
697,electricity,30.61
698,electricity,27.26
699,electricity,19.95
700,electricity,18.95
701,electricity,29.84
702,electricity,38.9
703,electricity,45.97
704,electricity,49.92
705,electricity,49.59
706,electricity,46.95
707,electricity,45.05
708,electricity,43.36
709,electricity,41.25
710,electricity,39.98
711,electricity,41.92
712,electricity,44.95
713,electricity,52.39
714,electricity,57.97
715,electricity,53.78
716,electricity,44.98
717,electricity,38.97
718,electricity,38.53
719,electricity,35.82
720,electricity,33.66
721,electricity,29.93
722,electricity,27.37
723,electricity,19.53
724,electricity,20.7
725,electricity,26.39
726,electricity,31.74
727,electricity,35.53
728,electricity,37.37
729,electricity,35.04
730,electricity,34.31
731,electricity,35.76
732,electricity,33.43
733,electricity,32.94
734,electricity,32
735,electricity,36
736,electricity,32.47
737,electricity,34.93
738,electricity,43.14
739,electricity,44.95
740,electricity,37.42
741,electricity,34
742,electricity,33.64
743,electricity,33.33
744,electricity,28.6
745,electricity,25.37
746,electricity,25.17
747,electricity,21.92
748,electricity,22.79
749,electricity,26.21
750,electricity,32.8
751,electricity,47.72
752,electricity,47.91
753,electricity,47.56
754,electricity,48.59
755,electricity,47.39
756,electricity,45.86
757,electricity,45.2
758,electricity,46.88
759,electricity,40.1
760,electricity,43.05
761,electricity,46.32
762,electricity,50.45
763,electricity,49.26
764,electricity,42.99
765,electricity,36.95
766,electricity,39.14
767,electricity,37.97
768,electricity,32.45
769,electricity,31.8
770,electricity,31.23
771,electricity,29.74
772,electricity,30.1
773,electricity,33.24
774,electricity,37.4
775,electricity,45.79
776,electricity,49.23
777,electricity,48.48
778,electricity,48.76
779,electricity,47.09
780,electricity,44.9
781,electricity,40.95
782,electricity,40.9
783,electricity,41.11
784,electricity,43.29
785,electricity,48.02
786,electricity,47.96
787,electricity,46.43
788,electricity,43.39
789,electricity,40.06
790,electricity,40.08
791,electricity,39.3
792,electricity,37.27
793,electricity,35.48
794,electricity,34.02
795,electricity,35.02
796,electricity,33.73
797,electricity,34.31
798,electricity,34.73
799,electricity,37.42
800,electricity,41.88
801,electricity,45.45
802,electricity,45.84
803,electricity,47.08
804,electricity,46.31
805,electricity,43.72
806,electricity,39.97
807,electricity,39.12
808,electricity,40.96
809,electricity,47.38
810,electricity,50.54
811,electricity,50.26
812,electricity,43.5
813,electricity,39.5
814,electricity,41.74
815,electricity,41.4
816,electricity,41.45
817,electricity,37.1
818,electricity,35.99
819,electricity,31.87
820,electricity,31.81
821,electricity,31.81
822,electricity,34.52
823,electricity,38.57
824,electricity,41
825,electricity,43.31
826,electricity,40.43
827,electricity,40
828,electricity,40.15
829,electricity,37.76
830,electricity,33.9
831,electricity,33.22
832,electricity,34.25
833,electricity,39.71
834,electricity,48.7
835,electricity,50.88
836,electricity,45.45
837,electricity,36.98
838,electricity,38.3
839,electricity,40.31
840,electricity,33.2
841,electricity,33.23
842,electricity,30.92
843,electricity,30.93
844,electricity,30.58
845,electricity,33.67
846,electricity,41.41
847,electricity,54.46
848,electricity,58.06
849,electricity,57.12
850,electricity,54.04
851,electricity,51.88
852,electricity,47.46
853,electricity,45.53
854,electricity,46.9
855,electricity,48.77
856,electricity,53.4
857,electricity,56.93
858,electricity,58.99
859,electricity,55.41
860,electricity,47.75
861,electricity,39.97
862,electricity,39
863,electricity,37.21
864,electricity,36.68
865,electricity,35
866,electricity,34.96
867,electricity,35.38
868,electricity,36.25
869,electricity,37.45
870,electricity,44.69
871,electricity,56.77
872,electricity,62.51
873,electricity,62.09
874,electricity,60.07
875,electricity,58.39
876,electricity,55.06
877,electricity,54.1
878,electricity,52.91
879,electricity,51.62
880,electricity,53.75
881,electricity,60.21
882,electricity,65.5
883,electricity,62.36
884,electricity,56.77
885,electricity,48.91
886,electricity,47.37
887,electricity,44.7
888,electricity,43.3
889,electricity,38.27
890,electricity,37.39
891,electricity,35.06
892,electricity,34.8
893,electricity,38.86
894,electricity,47.18
895,electricity,59.06
896,electricity,61.76
897,electricity,61.66
898,electricity,58.29
899,electricity,56.38
900,electricity,52.46
901,electricity,52.22
902,electricity,49.14
903,electricity,51.14
904,electricity,53.46
905,electricity,60.19
906,electricity,65.13
907,electricity,65.62
908,electricity,53
909,electricity,49.58
910,electricity,47.71
911,electricity,45.21
912,electricity,46.16
913,electricity,43.66
914,electricity,42
915,electricity,40.88
916,electricity,41.38
917,electricity,42.53
918,electricity,49.05
919,electricity,62.34
920,electricity,67.66
921,electricity,67.45
922,electricity,67.18
923,electricity,59.79
924,electricity,52.53
925,electricity,51.17
926,electricity,51.48
927,electricity,53
928,electricity,56.48
929,electricity,64.36
930,electricity,71.19
931,electricity,71.04
932,electricity,58.82
933,electricity,51.7
934,electricity,51.13
935,electricity,46.43
936,electricity,47.23
937,electricity,46.1
938,electricity,44.56
939,electricity,39.59
940,electricity,37.21
941,electricity,38.34
942,electricity,49.08
943,electricity,52.55
944,electricity,53.46
945,electricity,53.06
946,electricity,52.96
947,electricity,53
948,electricity,49.34
